Deal Unique Id,"From Currency ISO Code ""Ordering Currency""",To Currency ISO Code,Deal timestamp,Deal Amount in ordering currency
50001,CZK,HNL,2017-10-25 08:14:53 -0400,7657.15
50002,EGP,PHP,2017-10-25 08:14:53 -0400,1733.19
50003,IDR,EUR,2017-10-25 08:14:53 -0400,2689.22
50004,RUB,NGN,2017-10-25 08:14:53 -0400,1765.25
50005,PLN,LKR,2017-10-25 08:14:53 -0400,3295.2
50006,IDR,CNY,2017-10-25 08:14:53 -0400,6265.8
50007,JPY,EUR,2017-10-25 08:14:53 -0400,3527.79
50008,SEK,PLN,2017-10-25 08:14:53 -0400,9142.89
50009,PLN,RUB,2017-10-25 08:14:53 -0400,1878.4
50010,CNY,BRL,2017-10-25 08:14:53 -0400,1025.0
50011,GEL,ZMW,2017-10-25 08:14:53 -0400,9822.27
50012,BZD,XOF,2017-10-25 08:14:53 -0400,9367.73
50013,KES,SEK,2017-10-25 08:14:53 -0400,5992.78
50014,NAD,MXN,2017-10-25 08:14:53 -0400,8876.8
50015,CNY,JPY,2017-10-25 08:14:53 -0400,8621.3
50016,KGS,MAD,2017-10-25 08:14:53 -0400,6351.1
50017,CNY,EUR,2017-10-25 08:14:53 -0400,9648.7
50018,IRR,CNY,2017-10-25 08:14:53 -0400,1949.65
50019,CNY,TZS,2017-10-25 08:14:53 -0400,5476.77
50020,KPW,PHP,2017-10-25 08:14:53 -0400,7607.61
50021,IDR,CNY,2017-10-25 08:14:53 -0400,4677.46
50022,CNY,PHP,2017-10-25 08:14:53 -0400,9684.0
50023,DKK,RUB,2017-10-25 08:14:53 -0400,5053.99
50024,PLN,IDR,2017-10-25 08:14:53 -0400,595.35
50025,SEK,LBP,2017-10-25 08:14:53 -0400,5026.93
50026,EUR,PLN,2017-10-25 08:14:53 -0400,3637.19
50027,EUR,IDR,2017-10-25 08:14:53 -0400,4669.94
50028,PHP,PHP,2017-10-25 08:14:53 -0400,3960.49
50029,CNY,CNY,2017-10-25 08:14:53 -0400,4288.08
50030,IDR,PHP,2017-10-25 08:14:53 -0400,1244.21
50031,EUR,ARS,2017-10-25 08:14:53 -0400,5160.45
50032,VEF,TND,2017-10-25 08:14:53 -0400,3045.31
50033,IDR,CNY,2017-10-25 08:14:53 -0400,4319.14
50034,EUR,CLP,2017-10-25 08:14:53 -0400,4297.84
50035,EUR,EGP,2017-10-25 08:14:53 -0400,4074.63
50036,PLN,MXN,2017-10-25 08:14:53 -0400,9649.12
50037,IDR,CNY,2017-10-25 08:14:53 -0400,262.6
50038,USD,USD,2017-10-25 08:14:53 -0400,1830.1
50039,CNY,MXN,2017-10-25 08:14:53 -0400,5911.23
50040,CNY,RUB,2017-10-25 08:14:53 -0400,3341.19
50041,PKR,BRL,2017-10-25 08:14:53 -0400,7625.61
50042,PLN,MAD,2017-10-25 08:14:53 -0400,6657.98
50043,IDR,IDR,2017-10-25 08:14:53 -0400,1297.41
50044,CNY,ZWL,2017-10-25 08:14:53 -0400,435.24
50045,CNY,EUR,2017-10-25 08:14:53 -0400,2173.78
50046,MKD,CZK,2017-10-25 08:14:53 -0400,8325.41
50047,ARS,EGP,2017-10-25 08:14:53 -0400,1613.24
50048,CNY,EUR,2017-10-25 08:14:53 -0400,5797.07
50049,MGA,MZN,2017-10-25 08:14:53 -0400,5472.14
50050,PHP,CNY,2017-10-25 08:14:53 -0400,698.52
50051,THB,ARS,2017-10-25 08:14:53 -0400,6304.34
50052,IDR,CNY,2017-10-25 08:14:53 -0400,9632.09
50053,BSD,PLN,2017-10-25 08:14:53 -0400,4315.95
50054,IDR,MMK,2017-10-25 08:14:53 -0400,1001.2
50055,THB,UGX,2017-10-25 08:14:53 -0400,1916.51
50056,UAH,CNY,2017-10-25 08:14:53 -0400,1365.61
50057,PHP,PHP,2017-10-25 08:14:53 -0400,9815.47
50058,NZD,BAM,2017-10-25 08:14:53 -0400,4702.1
50059,PKR,IDR,2017-10-25 08:14:53 -0400,2045.34
50060,EUR,PLN,2017-10-25 08:14:53 -0400,4450.66
50061,CNY,ALL,2017-10-25 08:14:53 -0400,446.61
